============================================================
  Generated by:           Encounter(R) RTL Compiler RC14.28 - v14.20-s067_1
  Generated on:           Apr 07 2018  08:14:38 pm
  Module:                 dsc_mac_top
  Technology library:     gscl45nm 
  Operating conditions:   typical (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

                       Leakage   Dynamic    Total   
    Instance    Cells Power(nW) Power(nW) Power(nW) 
----------------------------------------------------
dsc_mac_top       231  7093.914 49894.435 56988.348 
  stoch2bin_out    53  2089.927 13650.286 15740.213 
  dut_prg10b_c     77  2057.470 12626.862 14684.332 
    ctr8           38  1541.720  8436.400  9978.120 
    comp10         39   515.750  4190.462  4706.212 
      comp1         2    49.307   351.938   401.245 
      comp2         2    49.307   350.041   399.348 
      comp3         2    49.307   351.670   400.976 
      comp4         2    49.307   350.041   399.347 
      comp5         2    49.307   394.160   443.466 
      comp6         2    49.307   428.921   478.227 
      comp7         2    49.307   405.771   455.078 
      comp0         2    17.348   172.627   189.975 
  dut_prg5b_a      47  1367.681  9069.820 10437.501 
    ctr4           27  1089.056  6764.190  7853.246 
    comp4          20   278.625  2305.630  2584.255 
      comp1         2    49.307   431.125   480.432 
      comp2         2    49.307   363.425   412.731 
      comp3         2    49.307   428.913   478.219 
      comp4         2    49.307    89.089   138.395 
      comp0         2    17.348   172.641   189.988 
  dut_prg5b_b      47  1367.681  9066.160 10433.841 
    ctr4           27  1089.056  6602.305  7691.361 
    comp4          20   278.625  2463.856  2742.480 
      comp1         2    49.307   431.132   480.438 
      comp2         2    49.307   394.159   443.465 
      comp3         2    49.307   395.667   444.974 
      comp4         2    49.307    89.089   138.395 
      comp0         2    17.348   172.641   189.988 
  control           4   175.257  1581.259  1756.517 
  dut_adder         2    20.292  1275.177  1295.469 
  dut_mul           1    15.606   144.370   159.976 

